lead_id,store_name,lead_channel_label,google_maps_category,instagram_handle,followers,items_listed,sell_through_rate,website,email,phone,owner_name,address,city,neighbourhood,country,lat,lng,est_monthly_spend_gbp,lead_source,last_contact_date,last_purchase_date,stage_raw,stage_clean,pipeline_status,notes,source_lead_ids,n_records_merged,store_type,store_type_confidence,_confirmed_non_uk,_unverified_location,store_category,qualifies,qualification_reason,contactability_score,data_quality_flag,ELIGIBLE,OUTREACH_TYPE,RECOMMENDED_FOLLOW_UP_DATE,SUGGESTED_MESSAGE,MESSAGE_LOGIC,PERSONALISATION_ANGLE
L1087,Mercer Archive,store,Second-hand shop,@mercerarchive,23024.0,,,https://mercerarchive.com,info@mercerarchive.com,+447714611254,Ben Novak,53 Cheshire St,Bristol,"Stokes Croft, Bristol",UK,51.46459,-2.59057,2126,Market visit,2026-04-28,never,responded,Replied,Engaged,"Curated vintage womenswear, Levi's & band tees |",L1087,1,Physical Store,High,False,False,Second-Hand Store,True,Category 'Second-hand shop' is a specific vintage/resale-clothing category - qualifies.,5,None,True,Re-Engagement,,"Hi Ben, it's been a little while, so wanted to check back in given your curated womenswear built around Levi's and band tees. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Worth a quick chat to see where things stand?",Stage identified as Replied (Re-Engagement). Personalisation drawn from notes: your curated womenswear built around Levi's and band tees. Last contacted 79 day(s) ago - timing supports a follow-up now.,your curated womenswear built around Levi's and band tees
L1107,Revival Threads,unknown,Used clothing store,@revivalthreads,21924.0,,,unknown,info@revivalthreads.com,+33603965223,unknown,152 The Parade,Paris,"Le Marais, Paris",France,48.86635,2.36474,6348,Google Maps scrape,2026-06-01,never,1st touch sent,Contacted,Contacted,"Vintage workwear, military surplus, carhartt",L1107,1,Physical Store,High,True,False,Second-Hand Store,True,Category 'Used clothing store' is a specific vintage/resale-clothing category - qualifies.,4,Missing Website; Non-UK; Possible Duplicate - Unverified,True,Re-Engagement,,"English: Hi there, it's been a little while, so wanted to check back in given your workwear and military surplus range, including Carhartt. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Worth a quick chat to see where things stand?

Translated (French): Bonjour, cela fait un moment, je voulais donc reprendre contact étant donné votre gamme de vêtements de travail et de surplus militaires, y compris Carhartt. Aucune pression si le moment n'est plus idéal, mais si l'approvisionnement reste d'actualité, je serais ravi d'en reparler. Cela vaudrait-il la peine d'en discuter rapidement ?","Stage identified as Contacted (Re-Engagement). Personalisation drawn from notes: your workwear and military surplus range, including Carhartt. Last contacted 45 day(s) ago - timing supports a follow-up now.","your workwear and military surplus range, including Carhartt"
L1149,sourcedco83,reseller,unknown,@sourcedco83,45531.0,687.0,0.29,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,3272,Whatnot,2026-05-13,never,responded,Replied,Engaged,unknown,L1149,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Whatnot) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,2,Missing Contact; Missing Website; Unverified Location,True,Re-Engagement,,"Hi there, it's been a little while, so wanted to check back in given your live-sale presence on Whatnot. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Worth a quick chat to see where things stand?",Stage identified as Replied (Re-Engagement). Personalisation drawn from channel (notes unavailable): your live-sale presence on Whatnot. Last contacted 64 day(s) ago - timing supports a follow-up now.,your live-sale presence on Whatnot
L1188,grailsupply32,depop,unknown,@grailsupply32,5782.0,1165.0,0.16,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,3456,Whatnot,never,never,not contacted,New Lead,Prospect,"Fast seller, good margins",L1188,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Whatnot) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,2,Missing Contact; Missing Website; Unverified Location,True,Cold,,"Hi there, I came across your shop and noticed how quickly your stock turns over. I work with Fleek, a wholesale marketplace connecting retailers and resellers with inventory from trusted suppliers and brands. Would it be useful to see what's currently available that fits what you stock?",Stage identified as New Lead (Cold). Personalisation drawn from notes: how quickly your stock turns over. No prior contact on record - treated as first outreach.,how quickly your stock turns over
L1150,thriftedera99,reseller,unknown,@thriftedera99,20227.0,1364.0,0.17,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,307,Depop scrape,2026-05-21,never,emailed,Contacted,Contacted,Sells on Depop + Vinted,L1150,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Depop scrape) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,2,Missing Contact; Missing Website; Unverified Location,True,Re-Engagement,,"Hi there, it's been a little while, so wanted to check back in given selling across both Depop and Vinted. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Worth a quick chat to see where things stand?",Stage identified as Contacted (Re-Engagement). Personalisation drawn from notes: selling across both Depop and Vinted. Last contacted 56 day(s) ago - timing supports a follow-up now.,selling across both Depop and Vinted
L1028,Faded Apparel,store,Used clothing store,@fadedapparel,16512.0,,,https://fadedapparel.co.uk,info@fadedapparel.com,unknown,Ben Byrne,172 Market St,London,"Camden, London",UK,51.54759,-0.14668,4143,Inbound,2026-06-20,2026-06-02,closed - won,Closed Won,Customer,80s/90s denim & sportswear specialist,L1028,1,Physical Store,High,False,False,Second-Hand Store,True,Category 'Used clothing store' is a specific vintage/resale-clothing category - qualifies.,4,None,True,Customer Check-In,,"Hi Ben, wanted to check in properly rather than send a generic update, given the 80s/90s denim and sportswear range you've built. Keen to hear how things have been going and whether there's anything new worth exploring together. Any gaps in what you're sourcing at the moment, or new ranges you're thinking about?",Stage identified as Closed Won (Customer Check-In). Personalisation drawn from notes: your 80s/90s denim and sportswear edit. Last contacted 26 day(s) ago - timing supports a follow-up now.,your 80s/90s denim and sportswear edit
L1036,Patina Emporium,unknown,Used clothing store,@patinaemporium,22561.0,,,unknown,unknown,+447516048175,Rosa Ferreira,68 Broadway,London,"Camden, London",UK,51.54674,-0.13203,1534,Market visit,2026-03-31,2025-07-27,lapsed,Lapsed,Churned,Retro football shirts & vintage sportswear | Keen but wants to see the app before committing.,L1036,1,Physical Store,High,False,False,Second-Hand Store,True,Category 'Used clothing store' is a specific vintage/resale-clothing category - qualifies.,3,Missing Website,True,Churned-Win-Back,,"Hi Rosa, it's been a while since we last worked together, so wanted to reach out honestly rather than pretend nothing's changed. Given the football shirt and sportswear range you specialise in, I understand if the timing wasn't right before. Makes sense to see it in action first - I can walk you through the app directly rather than describe it. Would it be worth a low-pressure conversation about what's changed on our side, in case it's relevant again?","Stage identified as Lapsed (Churned-Win-Back). Personalisation drawn from notes: your retro football shirt and vintage sportswear range. Notes flagged a specific objection/context, addressed directly rather than ignored. Last contacted 107 day(s) ago - timing supports a follow-up now.",your retro football shirt and vintage sportswear range
L1153,deadco34,unknown,unknown,@deadco34,21535.0,64.0,0.29,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,883,Depop scrape,2026-04-10,never,1st touch sent,Contacted,Contacted,Sells on Depop + Vinted,L1153,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Depop scrape) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,2,Missing Contact; Missing Website; Unverified Location,True,Re-Engagement,,"Hi there, it's been a little while, so wanted to check back in given selling across both Depop and Vinted. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Worth a quick chat to see where things stand?",Stage identified as Contacted (Re-Engagement). Personalisation drawn from notes: selling across both Depop and Vinted. Last contacted 97 day(s) ago - timing supports a follow-up now.,selling across both Depop and Vinted
L1016,Echo Garments,unknown,Vintage & retro fashion,@echogarments,21989.0,,,unknown,info@echogarments.com,+447951343320,unknown,12 Union St,London,"Brick Lane, London",UK,51.53261,-0.06883,3427,Market visit,2026-06-21,never,in convo,In Conversation,Engaged,"Vintage streetwear — Nike, Adidas, Ralph",L1016,1,Physical Store,High,False,False,Vintage Store,True,Category 'Vintage & retro fashion' is a specific vintage/resale-clothing category - qualifies.,4,Missing Website,False,No Action,,,"Stage 'In Conversation' is on the do-not-message list - no message drafted, no assumptions made about prior conversation content.",
L1074,Retrograde Store,unknown,Thrift store,@retrogradestore,5094.0,,,https://retrogradestore.com,info@retrogradestor.com,+447644089268,unknown,127 High St,Brighton,"North Laine, Brighton",UK,50.83733,-0.1294,2043,Referral,never,never,new - inbound,Inbound,Prospect,"Y2K, grunge and reworked one-off pieces",L1074,1,Physical Store,High,False,False,Second-Hand Store,True,Category 'Thrift store' is a specific vintage/resale-clothing category - qualifies.,5,Possible Duplicate - Unverified,True,Inbound,,"Hi there, thanks for getting in touch - I had a look at your Y2K, grunge and reworked one-off pieces before writing back. Fleek connects shops like yours with inventory from trusted suppliers, so given the Y2K and grunge one-offs you carry, it seemed worth a proper reply rather than a generic one. What's the main gap in sourcing right now - more volume, more variety, or something specific you're struggling to find?","Stage identified as Inbound (Inbound). Personalisation drawn from notes: your Y2K, grunge and reworked one-off pieces. No prior contact on record - treated as first outreach.","your Y2K, grunge and reworked one-off pieces"
L1066,Wilder Exchange,store,Retro clothing shop,@wilderexchange,11709.0,,,unknown,info@wilderexchange.com,+447041574733,unknown,138 Mill Lane,Brighton,"North Laine, Brighton",UK,50.83639,-0.13529,845,Instagram,2026-03-25,never,In conversation,In Conversation,Engaged,"Vintage streetwear — Nike, Adidas, Ralph | Instagram DMs open, email bounced.",L1066,1,Physical Store,High,False,False,Vintage Store,True,Category 'Retro clothing shop' is a specific vintage/resale-clothing category - qualifies.,4,Missing Website,False,No Action,,,"Stage 'In Conversation' is on the do-not-message list - no message drafted, no assumptions made about prior conversation content.",
L1156,thriftedgoods77,depop,unknown,@thriftedgoods77,14566.0,734.0,0.18,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,1364,Vinted scrape,2026-05-10,never,emailed,Contacted,Contacted,"Whatnot seller, live sales",L1156,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Vinted scrape) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,2,Missing Contact; Missing Website; Unverified Location,True,Re-Engagement,,"Hi there, it's been a little while, so wanted to check back in given your live-sale format on Whatnot. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Worth a quick chat to see where things stand?",Stage identified as Contacted (Re-Engagement). Personalisation drawn from notes: your live-sale format on Whatnot. Last contacted 67 day(s) ago - timing supports a follow-up now.,your live-sale format on Whatnot
L1067,Analog Room,unknown,Vintage & retro fashion,unknown,,,,https://analogroom.shop,info@analogroom.com,+447345401938,Jack Okafor,45 Broadway,Brighton,"North Laine, Brighton",UK,50.83517,-0.14778,2281,Market visit,2026-05-28,never,Visit booked,Visit Booked,Opportunity,"Vintage workwear, military surplus, carhartt","L1195, L1067",2,Physical Store,High,False,False,Vintage Store,True,Category 'Vintage & retro fashion' is a specific vintage/resale-clothing category - qualifies.,4,Missing Instagram,True,Re-Engagement,,"Hi Jack, it's been a little while, so wanted to check back in given your workwear and military surplus range, including Carhartt. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Worth a quick chat to see where things stand?","Stage identified as Visit Booked (Re-Engagement). Personalisation drawn from notes: your workwear and military surplus range, including Carhartt. Last contacted 49 day(s) ago - timing supports a follow-up now.","your workwear and military surplus range, including Carhartt"
L1052,Echo Store,physical,Vintage & retro fashion,@echostore,2458.0,,,https://echostore.co.uk,info@echostore.com,+447980893246,James Dubois,91 Union St,London,"Dalston, London",UK,51.5477,-0.0825,3837,Referral,never,never,NEW,New Lead,Prospect,Hand-picked vintage from the 60s to the 90s,L1052,1,Physical Store,High,False,False,Vintage Store,True,Category 'Vintage & retro fashion' is a specific vintage/resale-clothing category - qualifies.,5,None,True,Cold,,"Hi James, I came across your shop and noticed your hand-picked edit spanning the 60s through the 90s. I work with Fleek, a wholesale marketplace connecting retailers and resellers with inventory from trusted suppliers and brands. Would it be useful to see what's currently available that fits what you stock?",Stage identified as New Lead (Cold). Personalisation drawn from notes: your hand-picked edit spanning the 60s through the 90s. No prior contact on record - treated as first outreach.,your hand-picked edit spanning the 60s through the 90s
L1115,Marlowe Goods,unknown,Vintage & retro fashion,unknown,,,,https://marlowegoods.com,unknown,unknown,Theo Rossi,153 Mill Lane,Amsterdam,Amsterdam,Netherlands,52.36327,4.90955,4658,Google Maps scrape,never,never,new lead,New Lead,Prospect,Reworked vintage and archive designer pieces,L1115,1,Physical Store,High,True,False,Vintage Store,True,Category 'Vintage & retro fashion' is a specific vintage/resale-clothing category - qualifies.,2,Missing Contact; Missing Instagram; Non-UK,True,Cold,,"English: Hi Theo, I came across your shop and noticed your reworked and archive designer pieces. I work with Fleek, a wholesale marketplace connecting retailers and resellers with inventory from trusted suppliers and brands. Would it be useful to see what's currently available that fits what you stock?

Translated (Dutch): Hallo Theo, ik kwam uw winkel tegen en merkte uw bewerkte stukken en designer-archiefstukken op. Ik werk met Fleek, een groothandelsmarktplaats die retailers en resellers verbindt met voorraad van betrouwbare leveranciers en merken. Zou het interessant zijn om te zien wat er nu beschikbaar is en aansluit bij wat u verkoopt?",Stage identified as New Lead (Cold). Personalisation drawn from notes: your reworked and archive designer pieces. No prior contact on record - treated as first outreach.,your reworked and archive designer pieces
L1147,eraroom41,unknown,unknown,@eraroom41,11244.0,881.0,0.39,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,1015,Whatnot,2026-06-03,never,replied,Replied,Engaged,unknown,L1147,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Whatnot) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,2,Missing Contact; Missing Website; Unverified Location,True,Re-Engagement,,"Hi there, it's been a little while, so wanted to check back in given your live-sale presence on Whatnot. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Worth a quick chat to see where things stand?",Stage identified as Replied (Re-Engagement). Personalisation drawn from channel (notes unavailable): your live-sale presence on Whatnot. Last contacted 43 day(s) ago - timing supports a follow-up now.,your live-sale presence on Whatnot
L1041,Sunday Collective,physical,Flea market,unknown,,,,https://sundaycollective.com,info@sundaycollecti.com,+447615280988,Ben Ferreira,32 Broadway,London,"Peckham, London",UK,51.47049,-0.06503,1256,Instagram,2026-06-23,never,sent pricing,Quote Sent,Opportunity,Fancy dress & theatrical costume hire,L1041,1,Physical Store,High,False,False,Market Stall,True,Category 'Flea market' is a specific vintage/resale-clothing category - qualifies.,4,Missing Instagram,True,Re-Engagement,,"Hi Ben, it's been a little while, so wanted to check back in given running sales through Instagram. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Worth a quick chat to see where things stand?",Stage identified as Quote Sent (Re-Engagement). Personalisation drawn from channel (notes unavailable): running sales through Instagram. Last contacted 23 day(s) ago - timing supports a follow-up now.,running sales through Instagram
L1003,Analog Emporium,physical,Retro clothing shop,@analogemporium,10736.0,,,https://analogemporium.com,info@analogemporium.com,unknown,unknown,146 The Parade,London,"Shoreditch, London",UK,51.5171,-0.07202,2933,Instagram,2026-05-11,never,negotiating,Negotiating,Opportunity,Hand-picked vintage from the 60s to the 90s,L1003,1,Physical Store,High,False,False,Vintage Store,True,Category 'Retro clothing shop' is a specific vintage/resale-clothing category - qualifies.,4,None,True,Re-Engagement,,"Hi there, it's been a little while, so wanted to check back in given your hand-picked edit spanning the 60s through the 90s. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Worth a quick chat to see where things stand?",Stage identified as Negotiating (Re-Engagement). Personalisation drawn from notes: your hand-picked edit spanning the 60s through the 90s. Last contacted 66 day(s) ago - timing supports a follow-up now.,your hand-picked edit spanning the 60s through the 90s
L1162,grailfinds3,unknown,unknown,@grailfinds3,27350.0,1238.0,0.18,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,2781,Instagram,2026-06-27,never,Closed Lost,Closed Lost,Lost,"IG shop, DMs open",L1162,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Instagram) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,2,Missing Contact; Missing Website; Unverified Location,False,No Action,,,"Stage 'Closed Lost' is on the do-not-message list - no message drafted, no assumptions made about prior conversation content.",
L1176,studioarchive99,unknown,unknown,@studioarchive99,27581.0,557.0,0.17,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,614,Depop scrape,never,never,New,New Lead,Prospect,Sells on Depop + Vinted,L1176,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Depop scrape) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,2,Missing Contact; Missing Website; Unverified Location,True,Cold,,"Hi there, I came across your shop and noticed selling across both Depop and Vinted. I work with Fleek, a wholesale marketplace connecting retailers and resellers with inventory from trusted suppliers and brands. Would it be useful to see what's currently available that fits what you stock?",Stage identified as New Lead (Cold). Personalisation drawn from notes: selling across both Depop and Vinted. No prior contact on record - treated as first outreach.,selling across both Depop and Vinted
L1132,thriftedera71,unknown,unknown,@thriftedera71,42581.0,653.0,0.37,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,1219,Vinted scrape,never,never,New,New Lead,Prospect,unknown,L1132,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Vinted scrape) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,2,Missing Contact; Missing Website; Unverified Location,True,Cold,,"Hi there, I came across your shop and noticed selling through Vinted. I work with Fleek, a wholesale marketplace connecting retailers and resellers with inventory from trusted suppliers and brands. Would it be useful to see what's currently available that fits what you stock?",Stage identified as New Lead (Cold). Personalisation drawn from channel (notes unavailable): selling through Vinted. No prior contact on record - treated as first outreach.,selling through Vinted
L1164,eragoods88,IG,unknown,@eragoods88,12540.0,1189.0,0.41,unknown,eragoods88@gmail.com,unknown,unknown,unknown,unknown,unknown,unknown,,,1340,Vinted scrape,never,never,new - inbound,Inbound,Prospect,unknown,L1164,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Vinted scrape) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,3,Missing Website; Unverified Location,True,Inbound,,"Hi there, thanks for getting in touch - I had a look at selling through Vinted before writing back. Fleek connects shops like yours with inventory from trusted suppliers, so given your Vinted shop, it seemed worth a proper reply rather than a generic one. What's the main gap in sourcing right now - more volume, more variety, or something specific you're struggling to find?",Stage identified as Inbound (Inbound). Personalisation drawn from channel (notes unavailable): selling through Vinted. No prior contact on record - treated as first outreach.,selling through Vinted
